name,size,total perp,key perp,value perp,other perp
/workspace/llm_tg/runs/LR0.0005-k1000-linear_Standard/16.09.24_shuffle-False_wl-1/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps8-clip1/eval.txt,24976,1.2962965372812043,1.000002790262015,3.6485445401521104,1.003937872480472
/workspace/llm_tg/runs/LR0.0005-k1000-linear_Standard/16.09.24_shuffle-True_wl-1/adult/NonDP/GPT2/entire/ts30932-bs32-epoch10/eval.txt,16858,1.7020680638961003,2.1883817755521533,2.3954891057277794,1.0099480599913553
/workspace/llm_tg/runs/LR0.0005-k1000-linear_Standard/16.09.24_shuffle-True_wl-1/airline/NonDP/GPT2/entire/ts103904-bs32-epoch10/eval.txt,24976,1.6220690738613084,1.6789934830349589,2.865799889137728,1.0026334591521535
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-False_wl-1/adult/NonDP/GPT2/entire/ts30932-bs32-epoch10/eval.txt,16858,1.3379219257514523,1.000049396713966,2.485352540587041,1.0005700849369754
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-False_wl-1/adult/DP/GPT2/entire/ts30932-bs32-epoch10-mbs32-eps1-clip1/eval.txt,16858,1.4579470262084302,1.0002749924873495,3.2152135141699607,1.0104766852064124
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-False_wl-1/adult/DP/GPT2/entire/ts30932-bs32-epoch10-mbs32-eps8-clip1/eval.txt,16858,1.4131164434196488,1.0001346166187246,2.9342287028694187,1.0050056655734885
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-False_wl-1/airline/NonDP/GPT2/entire/ts103904-bs32-epoch10/eval.txt,24976,1.2372540394390488,1.0000000109891474,2.8943321472748584,1.002553509474688
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-False_wl-1/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps1-clip1/eval.txt,24976,1.307437270911084,1.000007916848023,3.7991590491268106,1.0056915928699046
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-False_wl-1/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps8-clip1/eval.txt,24976,1.2965860053897538,1.0000016557149884,3.651396253423689,1.0041867607335675
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-True_wl-1/adult/NonDP/GPT2/entire/ts30932-bs32-epoch10/eval.txt,16858,1.702521611008947,2.18852917513777,2.397477459777833,1.0098936842148525
