Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
        82	  0.826894	 51.474045	 11.880335	 10.089729	 84.413119	  1.934846	
        83	  0.826912	 52.205510	 11.613752	  9.781931	 82.064890	  1.918174	
        84	  0.826931	 53.711613	 11.359717	  9.490362	 79.876883	  1.901293	
        85	  0.826949	 46.573259	 11.115043	  9.217063	 77.701700	  1.885630	
        86	  0.826967	 42.993350	 10.875406	  8.956468	 75.537651	  1.870146	
        87	  0.826985	 46.213049	 10.650697	  8.713278	 73.469421	  1.856858	
        88	  0.827003	 45.799213	 10.443753	  8.497427	 71.552710	  1.843619	
        89	  0.827022	 41.268813	 10.246146	  8.294240	 69.567676	  1.834852	
        90	  0.827040	 44.904939	 10.058286	  8.095992	 67.692110	  1.827935	
        91	  0.827058	 40.114329	  9.880295	  7.913707	 66.018576	  1.817770	
        92	  0.827076	 36.531801	  9.699501	  7.720440	 64.248560	  1.811825	
        93	  0.827094	 39.739821	  9.533935	  7.547178	 62.581061	  1.807403	
        94	  0.827112	 34.955013	  9.365312	  7.369803	 60.972422	  1.801091	
        95	  0.827131	 40.304999	  9.205514	  7.204179	 59.457191	  1.794741	
        96	  0.827149	 36.313993	  9.058967	  7.050189	 57.990012	  1.792344	
        97	  0.827167	 36.734886	  8.907603	  6.893171	 56.459796	  1.790447	
        98	  0.827185	 31.951407	  8.763250	  6.750445	 55.101410	  1.784091	
        99	  0.827203	 34.431863	  8.622854	  6.612558	 53.804664	  1.777285	
       100	  0.827221	 31.111699	  8.490159	  6.482453	 52.464432	  1.775096	
       101	  0.827240	 33.373541	  8.363508	  6.363066	 51.230037	  1.770626	
       102	  0.827258	 32.687028	  8.239042	  6.244713	 50.050800	  1.765763	
       103	  0.827276	 30.444692	  8.123773	  6.143000	 48.892412	  1.761738	
       104	  0.827294	 30.242043	  8.009785	  6.039195	 47.804102	  1.757009	
       105	  0.827312	 26.772103	  7.903751	  5.955278	 46.768531	  1.750031	
       106	  0.827330	 29.303739	  7.799149	  5.870065	 45.825831	  1.741135	
       107	  0.827349	 24.098748	  7.698286	  5.794538	 44.891719	  1.731712	
       108	  0.827367	 29.766398	  7.597706	  5.715666	 44.007368	  1.721749	
       109	  0.827385	 25.864312	  7.499720	  5.644175	 43.172191	  1.709505	
       110	  0.827403	 24.885531	  7.400936	  5.571954	 42.260097	  1.700182	
       111	  0.827421	 22.783523	  7.307881	  5.500863	 41.449502	  1.690559	
       112	  0.827439	 29.319274	  7.214641	  5.429327	 40.619420	  1.681928	
       113	  0.827458	 24.781468	  7.124225	  5.357167	 39.869932	  1.672283	
       114	  0.827476	 25.910368	  7.035096	  5.288813	 39.083623	  1.664067	
