Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
        80	  0.826858	  5.236391	  4.989672	  4.568738	 19.800422	  1.355787	
        81	  0.826876	  5.332285	  4.943048	  4.513629	 19.526266	  1.353107	
        82	  0.826894	  5.492382	  4.898899	  4.470865	 19.254299	  1.348644	
        83	  0.826912	  5.455213	  4.852861	  4.413677	 19.029231	  1.343803	
        84	  0.826931	  5.413222	  4.809846	  4.360586	 18.781266	  1.341951	
        85	  0.826949	  5.474887	  4.767735	  4.308467	 18.598172	  1.335950	
        86	  0.826967	  4.907069	  4.726128	  4.255280	 18.390755	  1.332542	
        87	  0.826985	  5.516704	  4.688962	  4.209683	 18.209900	  1.328621	
        88	  0.827003	  5.227918	  4.648574	  4.153463	 18.002735	  1.327381	
        89	  0.827022	  4.856533	  4.609950	  4.102573	 17.826682	  1.323703	
        90	  0.827040	  5.359568	  4.573943	  4.055972	 17.668274	  1.319623	
        91	  0.827058	  5.130306	  4.539628	  4.006399	 17.492973	  1.319366	
        92	  0.827076	  4.837433	  4.509377	  3.957410	 17.371211	  1.318511	
        93	  0.827094	  5.171220	  4.482216	  3.915340	 17.227034	  1.319858	
        94	  0.827112	  4.726282	  4.457209	  3.879854	 17.132454	  1.317089	
        95	  0.827131	  4.856125	  4.432588	  3.840896	 17.092402	  1.311670	
        96	  0.827149	  4.923262	  4.403721	  3.792194	 17.005322	  1.309553	
        97	  0.827167	  5.121051	  4.377083	  3.755839	 16.884117	  1.307815	
        98	  0.827185	  4.810117	  4.355131	  3.720240	 16.824945	  1.305241	
        99	  0.827203	  5.211971	  4.331550	  3.681850	 16.733918	  1.304739	
       100	  0.827221	  4.608991	  4.305233	  3.644832	 16.620324	  1.303079	
       101	  0.827240	  4.809591	  4.274476	  3.603860	 16.491860	  1.300020	
       102	  0.827258	  4.859943	  4.246884	  3.573993	 16.386675	  1.293964	
       103	  0.827276	  5.176627	  4.219382	  3.549568	 16.233762	  1.289804	
       104	  0.827294	  4.691183	  4.189534	  3.522784	 16.087822	  1.283805	
       105	  0.827312	  4.593473	  4.162652	  3.506437	 15.926887	  1.277907	
       106	  0.827330	  4.748295	  4.129900	  3.478722	 15.749735	  1.272116	
       107	  0.827349	  4.589717	  4.097586	  3.452832	 15.583237	  1.265207	
       108	  0.827367	  4.761170	  4.060190	  3.408683	 15.397410	  1.262009	
       109	  0.827385	  4.410373	  4.028756	  3.377838	 15.238970	  1.257189	
       110	  0.827403	  4.653400	  3.995657	  3.341147	 15.081507	  1.252970	
       111	  0.827421	  4.269629	  3.967498	  3.315266	 14.913743	  1.250221	
       112	  0.827439	  4.891131	  3.939593	  3.284231	 14.742467	  1.250069	
       113	  0.827458	  4.453452	  3.912952	  3.261173	 14.569045	  1.248299	
       114	  0.827476	  4.488103	  3.889441	  3.231886	 14.448538	  1.247469	
       115	  0.827494	  4.559959	  3.861806	  3.210263	 14.261253	  1.245503	
       116	  0.827512	  4.133529	  3.837110	  3.189398	 14.099252	  1.243953	
       117	  0.827530	  4.439407	  3.812002	  3.167019	 13.927318	  1.243563	
       118	  0.827548	  4.052910	  3.790525	  3.141790	 13.795668	  1.244355	
