Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
        86	None      	  1.397235	  1.507169	  1.000025	  3.422676	  1.000255	
        87	None      	  1.376048	  1.509653	  1.000024	  3.439701	  1.000234	
        88	None      	  1.388417	  1.510256	  1.000023	  3.443829	  1.000232	
        89	None      	  1.396479	  1.507940	  1.000022	  3.427989	  1.000239	
        90	None      	  1.383900	  1.505241	  1.000021	  3.409604	  1.000244	
        91	None      	  1.383198	  1.505482	  1.000020	  3.411134	  1.000277	
        92	None      	  1.399737	  1.505545	  1.000020	  3.411397	  1.000326	
        93	None      	  1.402689	  1.504409	  1.000019	  3.403609	  1.000349	
        94	None      	  1.368607	  1.502707	  1.000019	  3.392167	  1.000320	
        95	None      	  1.357523	  1.498474	  1.000018	  3.363674	  1.000293	
        96	None      	  1.373325	  1.500435	  1.000018	  3.377042	  1.000249	
        97	None      	  1.349237	  1.502563	  1.000017	  3.391539	  1.000218	
        98	None      	  1.384257	  1.500959	  1.000017	  3.380771	  1.000194	
        99	None      	  1.400117	  1.495955	  1.000017	  3.347119	  1.000178	
       100	None      	  1.398057	  1.489865	  1.000017	  3.306443	  1.000168	
       101	None      	  1.381640	  1.483949	  1.000017	  3.267232	  1.000162	
       102	None      	  1.403054	  1.480101	  1.000017	  3.241894	  1.000158	
       103	None      	  1.373464	  1.472066	  1.000016	  3.189389	  1.000157	
       104	None      	  1.371692	  1.466126	  1.000016	  3.150937	  1.000156	
       105	None      	  1.367333	  1.462304	  1.000015	  3.126371	  1.000154	
       106	None      	  1.378692	  1.460376	  1.000015	  3.114019	  1.000154	
       107	None      	  1.386429	  1.457755	  1.000014	  3.097298	  1.000150	
       108	None      	  1.387419	  1.453129	  1.000014	  3.067924	  1.000143	
       109	None      	  1.344943	  1.450883	  1.000014	  3.053760	  1.000130	
       110	None      	  1.343506	  1.449945	  1.000013	  3.047875	  1.000120	
       111	None      	  1.365905	  1.449294	  1.000013	  3.043789	  1.000114	
       112	None      	  1.324064	  1.454050	  1.000013	  3.073879	  1.000107	
       113	None      	  1.367954	  1.459444	  1.000012	  3.108210	  1.000108	
       114	None      	  1.370417	  1.464132	  1.000013	  3.138249	  1.000112	
       115	None      	  1.392964	  1.464463	  1.000014	  3.140345	  1.000120	
       116	None      	  1.392441	  1.461099	  1.000015	  3.118716	  1.000132	
       117	None      	  1.382639	  1.457825	  1.000016	  3.097749	  1.000147	
       118	None      	  1.352999	  1.454249	  1.000018	  3.074949	  1.000165	
       119	None      	  1.376180	  1.452194	  1.000019	  3.061916	  1.000168	
       120	None      	  1.367919	  1.455380	  1.000020	  3.082134	  1.000161	
       121	None      	  1.349363	  1.462076	  1.000020	  3.124933	  1.000141	
       122	None      	  1.393134	  1.466857	  1.000020	  3.155748	  1.000121	
       123	None      	  1.375020	  1.471301	  1.000020	  3.184581	  1.000102	
       124	None      	  1.378644	  1.474734	  1.000020	  3.206975	  1.000086	
       125	None      	  1.340929	  1.476004	  1.000019	  3.215302	  1.000076	
       126	None      	  1.349112	  1.477701	  1.000018	  3.226432	  1.000069	
       127	None      	  1.359827	  1.477395	  1.000017	  3.224437	  1.000066	
       128	None      	  1.377114	  1.475712	  1.000015	  3.213442	  1.000065	
       129	None      	  1.362190	  1.469335	  1.000014	  3.171948	  1.000071	
       130	None      	  1.373759	  1.463555	  1.000013	  3.134627	  1.000082	
       131	None      	  1.348969	  1.461226	  1.000013	  3.119678	  1.000086	
       132	None      	  1.371994	  1.457424	  1.000012	  3.095393	  1.000084	
       133	None      	  1.327704	  1.455828	  1.000012	  3.085256	  1.000079	
       134	None      	  1.336674	  1.457685	  1.000011	  3.097096	  1.000074	
       135	None      	  1.372022	  1.460067	  1.000011	  3.112320	  1.000068	
       136	None      	  1.379491	  1.465325	  1.000011	  3.146085	  1.000061	
       137	None      	  1.365747	  1.467348	  1.000011	  3.159145	  1.000058	
       138	None      	  1.356289	  1.468878	  1.000011	  3.169038	  1.000057	
       139	None      	  1.367385	  1.470007	  1.000011	  3.176349	  1.000058	
       140	None      	  1.369890	  1.468813	  1.000011	  3.168610	  1.000059	
       141	None      	  1.377429	  1.468751	  1.000012	  3.168209	  1.000060	
       142	None      	  1.392462	  1.465308	  1.000013	  3.145967	  1.000063	
       143	None      	  1.377504	  1.462233	  1.000014	  3.126188	  1.000067	
       144	None      	  1.400481	  1.459129	  1.000015	  3.106300	  1.000072	
       145	None      	  1.382103	  1.458452	  1.000016	  3.101956	  1.000078	
       146	None      	  1.386563	  1.457817	  1.000017	  3.097880	  1.000086	
       147	None      	  1.376369	  1.457370	  1.000017	  3.095029	  1.000087	
       148	None      	  1.366947	  1.455504	  1.000017	  3.083157	  1.000087	
       149	None      	  1.395869	  1.453591	  1.000018	  3.071010	  1.000087	
       150	None      	  1.385921	  1.450997	  1.000018	  3.054600	  1.000086	
       151	None      	  1.358592	  1.449897	  1.000018	  3.047669	  1.000083	
       152	None      	  1.356780	  1.452311	  1.000018	  3.062937	  1.000076	
       153	None      	  1.399540	  1.454444	  1.000018	  3.076470	  1.000071	
       154	None      	  1.391025	  1.455620	  1.000018	  3.083954	  1.000066	
       155	None      	  1.353617	  1.457973	  1.000017	  3.098948	  1.000063	
       156	None      	  1.378795	  1.458694	  1.000017	  3.103557	  1.000060	
       157	None      	  1.365934	  1.459016	  1.000017	  3.105622	  1.000057	
       158	None      	  1.369226	  1.457415	  1.000016	  3.095412	  1.000057	
       159	None      	  1.354299	  1.454668	  1.000015	  3.077943	  1.000058	
       160	None      	  1.358884	  1.452079	  1.000015	  3.061528	  1.000060	
       161	None      	  1.371528	  1.451315	  1.000014	  3.056696	  1.000063	
       162	None      	  1.363346	  1.451863	  1.000014	  3.060150	  1.000066	
       163	None      	  1.338000	  1.454465	  1.000013	  3.076619	  1.000070	
       164	None      	  1.354682	  1.457612	  1.000012	  3.096625	  1.000074	
       165	None      	  1.368458	  1.461535	  1.000012	  3.121688	  1.000077	
       166	None      	  1.392462	  1.463189	  1.000012	  3.132298	  1.000078	
       167	None      	  1.353817	  1.465089	  1.000011	  3.144511	  1.000080	
       168	None      	  1.356587	  1.464548	  1.000011	  3.141040	  1.000075	
       169	None      	  1.354214	  1.465375	  1.000010	  3.146406	  1.000063	
       170	None      	  1.354558	  1.464297	  1.000010	  3.139485	  1.000057	
       171	None      	  1.358965	  1.462400	  1.000010	  3.127315	  1.000053	
       172	None      	  1.352519	  1.458720	  1.000010	  3.103777	  1.000049	
       173	None      	  1.335663	  1.455460	  1.000009	  3.083028	  1.000046	
       174	None      	  1.372606	  1.452172	  1.000009	  3.062186	  1.000044	
       175	None      	  1.370122	  1.449768	  1.000008	  3.047011	  1.000042	
       176	None      	  1.368648	  1.447135	  1.000008	  3.030442	  1.000042	
       177	None      	  1.385477	  1.444375	  1.000008	  3.013136	  1.000041	
       178	None      	  1.349041	  1.443743	  1.000008	  3.009184	  1.000041	
       179	None      	  1.351577	  1.445664	  1.000008	  3.021212	  1.000041	
       180	None      	  1.355276	  1.444212	  1.000007	  3.012122	  1.000041	
       181	None      	  1.367687	  1.441950	  1.000007	  2.997990	  1.000040	
       182	None      	  1.325338	  1.443882	  1.000007	  3.010058	  1.000039	
       183	None      	  1.390393	  1.445431	  1.000007	  3.019760	  1.000039	
       184	None      	  1.356851	  1.447485	  1.000007	  3.032649	  1.000039	
       185	None      	  1.380053	  1.448637	  1.000007	  3.039896	  1.000038	
       186	None      	  1.359602	  1.450898	  1.000007	  3.054155	  1.000039	
       187	None      	  1.363560	  1.451955	  1.000008	  3.060828	  1.000040	
       188	None      	  1.381010	  1.452208	  1.000008	  3.062427	  1.000041	
       189	None      	  1.375387	  1.452422	  1.000008	  3.063779	  1.000042	
       190	None      	  1.359135	  1.451531	  1.000008	  3.058140	  1.000042	
       191	None      	  1.355273	  1.451459	  1.000008	  3.057684	  1.000042	
       192	None      	  1.371838	  1.448295	  1.000008	  3.037729	  1.000043	
       193	None      	  1.361070	  1.443716	  1.000008	  3.009009	  1.000044	
       194	None      	  1.343252	  1.440004	  1.000007	  2.985854	  1.000044	
       195	None      	  1.346125	  1.438094	  1.000007	  2.973985	  1.000046	
       196	None      	  1.395609	  1.436622	  1.000007	  2.964857	  1.000049	
       197	None      	  1.329716	  1.436041	  1.000007	  2.961249	  1.000051	
       198	None      	  1.357306	  1.437104	  1.000007	  2.967821	  1.000054	
       199	None      	  1.365534	  1.442057	  1.000007	  2.998609	  1.000057	
       200	None      	  1.363384	  1.448549	  1.000007	  3.039286	  1.000059	
       201	None      	  1.358005	  1.454280	  1.000007	  3.075498	  1.000061	
       202	None      	  1.378323	  1.454483	  1.000007	  3.076779	  1.000062	
       203	None      	  1.386634	  1.452115	  1.000006	  3.061768	  1.000064	
       204	None      	  1.381660	  1.450953	  1.000006	  3.054422	  1.000066	
       205	None      	  1.359797	  1.449697	  1.000006	  3.046492	  1.000067	
       206	None      	  1.351464	  1.451652	  1.000006	  3.058836	  1.000066	
       207	None      	  1.381026	  1.455499	  1.000006	  3.083229	  1.000064	
       208	None      	  1.372293	  1.458212	  1.000006	  3.100506	  1.000062	
       209	None      	  1.354784	  1.459910	  1.000006	  3.111362	  1.000058	
       210	None      	  1.380966	  1.461838	  1.000006	  3.123714	  1.000056	
       211	None      	  1.365775	  1.463517	  1.000006	  3.134495	  1.000055	
       212	None      	  1.361562	  1.463607	  1.000005	  3.135077	  1.000054	
       213	None      	  1.377676	  1.464521	  1.000005	  3.140958	  1.000052	
       214	None      	  1.348681	  1.465939	  1.000005	  3.150096	  1.000051	
       215	None      	  1.347866	  1.465935	  1.000005	  3.150073	  1.000050	
       216	None      	  1.362128	  1.461927	  1.000004	  3.124310	  1.000049	
       217	None      	  1.350986	  1.459234	  1.000004	  3.107081	  1.000048	
       218	None      	  1.333761	  1.457283	  1.000004	  3.094630	  1.000048	
       219	None      	  1.350329	  1.452438	  1.000004	  3.063869	  1.000048	
       220	None      	  1.336575	  1.450141	  1.000004	  3.049354	  1.000049	
       221	None      	  1.393099	  1.447348	  1.000005	  3.031759	  1.000052	
       222	None      	  1.362889	  1.446948	  1.000005	  3.029214	  1.000063	
       223	None      	  1.372581	  1.447777	  1.000005	  3.034358	  1.000084	
       224	None      	  1.369134	  1.448615	  1.000005	  3.039544	  1.000111	
       225	None      	  1.340124	  1.450186	  1.000005	  3.049549	  1.000077	
       226	None      	  1.355254	  1.449076	  1.000006	  3.042603	  1.000059	
       227	None      	  1.363751	  1.446372	  1.000006	  3.025632	  1.000050	
       228	None      	  1.360562	  1.445428	  1.000006	  3.019724	  1.000045	
       229	None      	  1.373091	  1.446579	  1.000006	  3.026961	  1.000041	
       230	None      	  1.324400	  1.448549	  1.000006	  3.039349	  1.000038	
       231	None      	  1.361237	  1.448274	  1.000005	  3.037627	  1.000037	
       232	None      	  1.343074	  1.448598	  1.000005	  3.039668	  1.000035	
       233	None      	  1.343789	  1.450087	  1.000005	  3.049058	  1.000033	
       234	None      	  1.346002	  1.450467	  1.000005	  3.051466	  1.000031	
       235	None      	  1.361796	  1.450248	  1.000005	  3.050082	  1.000030	
       236	None      	  1.364425	  1.447197	  1.000004	  3.030872	  1.000031	
       237	None      	  1.321551	  1.444201	  1.000005	  3.012076	  1.000035	
       238	None      	  1.351358	  1.439351	  1.000005	  2.981815	  1.000041	
       239	None      	  1.373775	  1.435140	  1.000005	  2.955663	  1.000061	
       240	None      	  1.352709	  1.430184	  1.000005	  2.925049	  1.000094	
       241	None      	  1.360101	  1.424398	  1.000005	  2.889566	  1.000139	
       242	None      	  1.364765	  1.421034	  1.000005	  2.869050	  1.000170	
       243	None      	  1.351550	  1.419778	  1.000005	  2.861409	  1.000185	
       244	None      	  1.346934	  1.420798	  1.000005	  2.867723	  1.000133	
       245	None      	  1.342357	  1.424737	  1.000005	  2.891812	  1.000073	
       246	None      	  1.360914	  1.429026	  1.000005	  2.918084	  1.000047	
       247	None      	  1.358549	  1.434123	  1.000004	  2.949454	  1.000037	
       248	None      	  1.350431	  1.439190	  1.000004	  2.980852	  1.000029	
       249	None      	  1.340229	  1.443809	  1.000004	  3.009653	  1.000027	
       250	None      	  1.348492	  1.446990	  1.000004	  3.029591	  1.000026	
       251	None      	  1.368176	  1.448689	  1.000004	  3.040268	  1.000027	
       252	None      	  1.361609	  1.450077	  1.000004	  3.048996	  1.000034	
       253	None      	  1.353052	  1.452617	  1.000004	  3.064995	  1.000050	
       254	None      	  1.351990	  1.453371	  1.000004	  3.069689	  1.000078	
       255	None      	  1.351315	  1.452065	  1.000004	  3.061395	  1.000087	
       256	None      	  1.357049	  1.448687	  1.000004	  3.040115	  1.000074	
       257	None      	  1.363500	  1.445053	  1.000004	  3.017351	  1.000054	
       258	None      	  1.349372	  1.442942	  1.000004	  3.004177	  1.000045	
       259	None      	  1.353640	  1.440616	  1.000004	  2.989688	  1.000040	
       260	None      	  1.346966	  1.438036	  1.000003	  2.973663	  1.000037	
       261	None      	  1.389239	  1.431851	  1.000003	  2.935462	  1.000036	
       262	None      	  1.354762	  1.428848	  1.000003	  2.917033	  1.000035	
       263	None      	  1.354648	  1.426993	  1.000003	  2.905686	  1.000036	
       264	None      	  1.351414	  1.425400	  1.000003	  2.895966	  1.000037	
       265	None      	  1.373106	  1.425062	  1.000003	  2.893903	  1.000038	
       266	None      	  1.359851	  1.423681	  1.000003	  2.885484	  1.000042	
       267	None      	  1.336337	  1.424420	  1.000003	  2.889974	  1.000045	
       268	None      	  1.366347	  1.428977	  1.000003	  2.917787	  1.000048	
       269	None      	  1.372067	  1.433245	  1.000003	  2.944001	  1.000052	
       270	None      	  1.371730	  1.436198	  1.000003	  2.962224	  1.000056	
       271	None      	  1.325709	  1.440222	  1.000003	  2.987182	  1.000059	
       272	None      	  1.361581	  1.440797	  1.000003	  2.990759	  1.000061	
       273	None      	  1.338613	  1.440896	  1.000003	  2.991375	  1.000061	
       274	None      	  1.370431	  1.440690	  1.000003	  2.990128	  1.000049	
       275	None      	  1.335937	  1.440255	  1.000003	  2.987433	  1.000045	
       276	None      	  1.376027	  1.436436	  1.000003	  2.963733	  1.000043	
       277	None      	  1.341593	  1.430003	  1.000003	  2.924098	  1.000042	
       278	None      	  1.357436	  1.423143	  1.000003	  2.882215	  1.000042	
       279	None      	  1.365707	  1.418925	  1.000003	  2.856663	  1.000042	
       280	None      	  1.367286	  1.418214	  1.000003	  2.852368	  1.000044	
       281	None      	  1.369819	  1.416318	  1.000003	  2.840935	  1.000047	
       282	None      	  1.349941	  1.416717	  1.000004	  2.843319	  1.000051	
       283	None      	  1.372485	  1.415785	  1.000004	  2.837696	  1.000058	
       284	None      	  1.358695	  1.416437	  1.000008	  2.841597	  1.000060	
       285	None      	  1.349273	  1.419984	  1.000041	  2.862909	  1.000058	
       286	None      	  1.361936	  1.425132	  1.000256	  2.893548	  1.000052	
       287	None      	  1.331651	  1.432835	  1.000723	  2.939349	  1.000048	
       288	None      	  1.353356	  1.442779	  1.000449	  3.001806	  1.000047	
       289	None      	  1.330563	  1.450416	  1.000038	  3.050991	  1.000048	
       290	None      	  1.340624	  1.453206	  1.000006	  3.068711	  1.000054	
       291	None      	  1.364953	  1.451879	  1.000004	  3.060293	  1.000062	
       292	None      	  1.366107	  1.450143	  1.000004	  3.049318	  1.000065	
       293	None      	  1.356727	  1.445065	  1.000004	  3.017379	  1.000071	
       294	None      	  1.359650	  1.442552	  1.000004	  3.001663	  1.000071	
       295	None      	  1.361167	  1.441564	  1.000004	  2.995498	  1.000072	
       296	None      	  1.379119	  1.440553	  1.000004	  2.989213	  1.000068	
       297	None      	  1.358066	  1.437459	  1.000004	  2.969995	  1.000066	
       298	None      	  1.358527	  1.435027	  1.000004	  2.954958	  1.000063	
       299	None      	  1.356395	  1.434406	  1.000004	  2.951131	  1.000061	
       300	None      	  1.352004	  1.435191	  1.000004	  2.955992	  1.000055	
       301	None      	  1.344117	  1.437974	  1.000004	  2.973244	  1.000048	
       302	None      	  1.373096	  1.440542	  1.000005	  2.989215	  1.000044	
       303	None      	  1.364281	  1.438127	  1.000005	  2.974192	  1.000048	
