Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
        79	  0.826840	  3.952690	  2.382331	  2.188166	  6.080488	  1.007961	
        80	  0.826858	  3.722160	  2.395420	  2.191732	  6.126640	  1.015355	
        81	  0.826876	  3.913081	  2.376178	  2.166157	  6.045761	  1.016335	
        82	  0.826894	  3.762055	  2.378439	  2.198977	  6.014406	  1.009024	
        83	  0.826912	  3.794522	  2.378363	  2.169805	  6.003552	  1.024650	
        84	  0.826931	  3.871575	  2.380327	  2.173154	  6.012830	  1.024001	
        85	  0.826949	  3.806520	  2.375285	  2.168142	  6.033811	  1.016257	
        86	  0.826967	  3.827750	  2.394123	  2.233990	  5.990136	  1.017007	
        87	  0.826985	  3.904332	  2.388265	  2.189624	  6.067148	  1.017158	
        88	  0.827003	  3.753190	  2.365231	  2.150733	  6.006240	  1.016258	
        89	  0.827022	  3.825901	  2.354684	  2.175002	  5.904193	  1.008472	
        90	  0.827040	  3.999456	  2.360571	  2.149739	  6.019825	  1.008373	
        91	  0.827058	  3.786310	  2.386325	  2.194651	  6.039404	  1.016982	
        92	  0.827076	  3.815103	  2.337991	  2.178760	  5.768750	  1.008595	
        93	  0.827094	  3.815169	  2.372461	  2.213028	  5.933794	  1.008522	
        94	  0.827112	  3.833347	  2.368374	  2.183275	  5.980379	  1.009221	
        95	  0.827131	  3.902645	  2.353265	  2.223584	  5.809459	  1.000396	
        96	  0.827149	  3.907916	  2.364726	  2.199834	  5.911997	  1.008446	
        97	  0.827167	  3.847891	  2.350354	  2.193191	  5.823613	  1.008274	
        98	  0.827185	  3.739974	  2.366413	  2.223737	  5.906249	  1.000519	
        99	  0.827203	  3.804577	  2.327034	  2.161920	  5.689789	  1.016300	
       100	  0.827221	  3.656706	  2.352820	  2.191698	  5.840911	  1.009158	
       101	  0.827240	  3.956386	  2.349867	  2.195779	  5.812310	  1.008406	
       102	  0.827258	  3.700503	  2.371952	  2.261957	  5.844103	  1.000895	
       103	  0.827276	  3.928847	  2.344255	  2.164867	  5.755926	  1.025779	
       104	  0.827294	  3.763603	  2.328979	  2.162289	  5.699523	  1.016941	
       105	  0.827312	  3.731396	  2.345306	  2.169600	  5.798724	  1.017241	
